benchmark_id,gap_decorator,alphabet_type,GAPFLAG,seq_len,runtime avg [ns],runtime stddev [ns],maximum_resident_set_size
1,GS,dna4,0,8,4.0654,16.3435,0
1,GS,dna4,0,16,3.04445,69.3736,0
1,GS,dna4,0,32,2.59865,10.1053,0
1,GS,dna4,0,64,2.59859,10.1075,0
1,GS,dna4,0,128,2.59486,10.091,0
1,GS,dna4,0,256,2.59082,10.0739,0
1,GS,dna4,0,512,2.5989,10.1052,0
1,GS,dna4,0,1024,2.58552,10.0514,0
1,GS,dna4,0,2048,2.57772,10.0214,0
1,GS,dna4,0,4096,2.55133,9.92016,0
1,GS,dna4,0,8192,2.59609,10.0946,0
1,GS,dna4,0,16384,2.59819,10.1171,0
1,GS,dna4,0,32768,2.66758,10.4079,0
1,GS,dna4,0,65536,2.68943,10.5006,0
1,GS,dna4,0,131072,2.57695,10.0717,0
1,GS,dna4,0,262144,2.61274,10.2053,0
1,GS,dna4,0,524288,2.67735,10.4862,0
1,GS,dna4,0,1048576,2.75737,10.8067,0
1,GS,dna4,1,8,4.41657,18.5315,0
1,GS,dna4,1,16,3.25012,12.6383,0
1,GS,dna4,1,32,3.21476,12.508,0
1,GS,dna4,1,64,3.25163,12.6455,0
1,GS,dna4,1,128,3.25989,12.6784,0
1,GS,dna4,1,256,3.21597,12.5094,0
1,GS,dna4,1,512,3.23576,12.5901,0
1,GS,dna4,1,1024,3.24565,12.6263,0
1,GS,dna4,1,2048,3.24608,12.6307,0
1,GS,dna4,1,4096,3.23193,12.5775,0
1,GS,dna4,1,8192,3.2533,12.6661,0
1,GS,dna4,1,16384,3.25989,12.7288,0
1,GS,dna4,1,32768,2.71045,10.6981,0
1,GS,dna4,1,65536,2.57864,10.0722,0
1,GS,dna4,1,131072,2.65127,10.3708,0
1,GS,dna4,1,262144,2.73968,10.7338,0
1,GS,dna4,1,524288,2.7795,10.9069,0
1,GS,dna4,1,1048576,2.85136,11.2333,0
1,GVsd,dna4,0,8,28.1826,118.405,0
1,GVsd,dna4,0,16,23.5411,92.8179,0
1,GVsd,dna4,0,32,23.4289,91.1717,0
1,GVsd,dna4,0,64,23.398,91.0412,0
1,GVsd,dna4,0,128,23.5019,92.3479,0
1,GVsd,dna4,0,256,23.6304,98.3663,0
1,GVsd,dna4,0,512,23.4226,91.1399,0
1,GVsd,dna4,0,1024,23.4219,91.1414,0
