benchmark_id,gap_decorator,alphabet_type,GAPFLAG,seq_len,runtime avg [ns],runtime stddev [ns],maximum_resident_set_size
3,GS,dna4,0,8192,114.851,202.991,0
3,GS,dna4,0,16384,167.507,286.635,0
3,GS,dna4,0,32768,306.348,539.926,0
3,GS,dna4,1,8192,113.684,194.28,0
3,GS,dna4,1,16384,166.989,285.359,0
3,GS,dna4,1,32768,288.28,493.432,0
3,GVsd,dna4,0,8192,260921.0,453032.0,0
3,GVsd,dna4,0,16384,470788.0,813835.0,0
3,GVsd,dna4,0,32768,883759.0,1524180.0,0
3,GVsd,dna4,1,8192,530864.0,909111.0,0
3,GVsd,dna4,1,16384,1015160.0,1735860.0,0
3,GVsd,dna4,1,32768,1878990.0,3211570.0,0
3,GVbit,dna4,0,8192,177783.0,303916.0,0
3,GVbit,dna4,0,16384,349893.0,598016.0,0
3,GVbit,dna4,0,32768,700503.0,1197240.0,0
3,GVbit,dna4,1,8192,204823.0,350078.0,0
3,GVbit,dna4,1,16384,407210.0,695946.0,0
3,GVbit,dna4,1,32768,804702.0,1375220.0,0
3,AL,dna4,0,8192,90.2169,157.095,0
3,AL,dna4,0,16384,58.0337,99.9646,0
3,AL,dna4,0,32768,58.6564,101.186,0
3,AL,dna4,1,8192,12244.6,20926.4,0
3,AL,dna4,1,16384,24725.0,42254.4,0
3,AL,dna4,1,32768,49153.9,84003.5,0
3,AS,dna4,0,8192,198.346,349.743,0
3,AS,dna4,0,16384,208.255,598.702,0
3,AS,dna4,0,32768,203.493,465.395,0
3,AS,dna4,1,8192,378956.0,647579.0,0
3,AS,dna4,1,16384,803667.0,1373340.0,0
3,AS,dna4,1,32768,1719250.0,2939380.0,0
3,AB,dna4,0,8192,3170.11,122016.0,0
3,AB,dna4,0,16384,4016.19,126276.0,0
3,AB,dna4,0,32768,3513.92,6006.83,0
3,AB,dna4,1,8192,3307.08,130109.0,0
3,AB,dna4,1,16384,4018.88,128276.0,0
3,AB,dna4,1,32768,3509.38,5998.16,0
